id,point_id,can_id,param_name,data_type,coefficient,default_value,current_value,value_config,ui_type,description,sort_order,created_at,updated_at,param_ename
1,580,0x183Ddd00,并网服务功率爬坡率,int16_t,10,300,300,"{""type"":""range"", ""min"":1.0, ""max"":1000.0, ""step"":0.1, ""unit"":""Sec""}",input-number,,1,2026/5/21 10:21,2026/5/21 10:21,ES_RAMP_RATE
2,581,0x183Ddd00,并网服务延时,int16_t,10,300,300,"{""type"":""range"", ""min"":0.0, ""max"":600.0, ""step"":0.1, ""unit"":""Sec""}",input-number,,2,2026/5/21 10:21,2026/5/21 10:21,ES_DELAY
3,582,0x183Ddd00,并网服务欠频阈值,int16_t,100,59.5,59.5,"{""type"":""range"", ""min"":""GRID_RATED_FREQUENCY-1.0"", ""max"":""GRID_RATED_FREQUENCY-0.1"", ""step"":0.01, ""unit"":""p.u.""}",input-number,,3,2026/5/21 10:21,2026/5/21 10:21,ES_FREQUENCY_LOW
4,583,0x183Ddd00,并网服务过频阈值,int16_t,100,60.1,60.1,"{""type"":""range"", ""min"":""GRID_RATED_FREQUENCY+0.1"", ""max"":""GRID_RATED_FREQUENCY+1.0"", ""step"":0.01, ""unit"":""Hz""}",input-number,,4,2026/5/21 10:21,2026/5/21 10:21,ES_FREQUENCY_HIGH
5,584,0x183Edd00,并网服务欠压阈值,int16_t,1000,0.917,0.917,"{""type"":""range"", ""min"":0.88, ""max"":0.95, ""step"":0.001, ""unit"":""p.u.""}",input-number,,5,2026/5/21 10:21,2026/5/21 10:21,ES_VOLTAGE_LOW
6,585,0x183Edd00,并网服务过压阈值,int16_t,1000,1.05,1.05,"{""type"":""range"", ""min"":1.05, ""max"":1.06, ""step"":0.001, ""unit"":""p.u.""}",input-number,,6,2026/5/21 10:21,2026/5/21 10:21,ES_VOLTAGE_HIGH
7,586,0x183Edd00,电压-无功响应时间,int16_t,100,5,5,"{""type"":""range"", ""min"":1.0, ""max"":90.0, ""step"":0.01, ""unit"":""Sec""}",input-number,,7,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_TRESP
8,587,0x183Edd00,无功参考值响应时间,int16_t,10,5,5,"{""type"":""range"", ""min"":0.1, ""max"":10.0, ""step"":0.1, ""unit"":""Sec""}",input-number,,8,2026/5/21 10:21,2026/5/21 10:21,VARREF_TRESP
9,588,0x183Fdd00,频率-有功响应时间,int16_t,100,5,5,"{""type"":""range"", ""min"":0.2, ""max"":10.0, ""step"":0.01, ""unit"":""Sec""}",input-number,,9,2026/5/21 10:21,2026/5/21 10:21,FRE_WATT_TRESP
10,589,0x183Fdd00,电压-有功响应时间,int16_t,100,10,10,"{""type"":""range"", ""min"":0.5, ""max"":60.0, ""step"":0.01, ""unit"":""Sec""}",input-number,,10,2026/5/21 10:21,2026/5/21 10:21,VOLT_WATT_TRESP
11,590,0x183Fdd00,电压-无功参考电压自动调整时间,int16_t,1,300,300,"{""type"":""range"", ""min"":300.0, ""max"":5000.0, ""step"":1, ""unit"":""Sec""}",input-number,,11,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_VREF_AUTO_ADJ_TIME
12,591,0x183Fdd00,有功功率限制百分比,int16_t,1,100,100,"{""type"":""range"", ""min"":0, ""max"":110, ""step"":1, ""unit"":""%""}",input-number,,12,2026/5/21 10:21,2026/5/21 10:21,LIMITED_POWER_PERCENTAGE
13,592,0x1840dd00,频率-有功欠频下垂系数,int16_t,1000,0.05,0.05,"{""type"":""range"", ""min"":0.02, ""max"":0.05, ""step"":0.001, ""unit"":""p.u.""}",input-number,,13,2026/5/21 10:21,2026/5/21 10:21,FRE_WATT_KUF
14,593,0x1840dd00,频率-有功过频死区,int16_t,1000,0.036,0.036,"{""type"":""range"", ""min"":0.017, ""max"":1.0, ""step"":0.001, ""unit"":""p.u.""}",input-number,,14,2026/5/21 10:21,2026/5/21 10:21,FRE_WATT_DBOF
15,594,0x1840dd00,频率-有功过频下垂系数,int16_t,1000,0.05,0.05,"{""type"":""range"", ""min"":0.02, ""max"":0.05, ""step"":0.001, ""unit"":""p.u.""}",input-number,,15,2026/5/21 10:21,2026/5/21 10:21,FRE_WATT_KOF
16,595,0x1840dd00,频率-有功欠频死区,int16_t,1000,0.036,0.036,"{""type"":""range"", ""min"":0.017, ""max"":1.0, ""step"":0.001, ""unit"":""p.u.""}",input-number,,16,2026/5/21 10:21,2026/5/21 10:21,FRE_WATT_DBUF
17,596,0x1841dd00,电压-有功控制V1点,int16_t,1000,1.06,1.06,"{""type"":""range"", ""min"":1.05, ""max"":1.09, ""step"":0.001, ""unit"":""p.u.""}",input-number,,17,2026/5/21 10:21,2026/5/21 10:21,VOLT_WATT_V1
18,597,0x1841dd00,电压-有功控制V2点,int16_t,1000,1.1,1.1,"{""type"":""range"", ""min"":""VOLT_WATT_V1+0.01"", ""max"":1.1, ""step"":0.001, ""unit"":""p.u.""}",input-number,,18,2026/5/21 10:21,2026/5/21 10:21,VOLT_WATT_V2
19,598,0x1841dd00,电压-有功控制P2点,int16_t,1000,-1,-1,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.001, ""unit"":""p.u.""}",input-number,,19,2026/5/21 10:21,2026/5/21 10:21,VOLT_WATT_P2
20,599,0x1841dd00,电压-无功参考电压,int16_t,1000,1,1,"{""type"":""range"", ""min"":0.95, ""max"":1.05, ""step"":0.001, ""unit"":""p.u.""}",input-number,,20,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_VREF
21,600,0x1842dd00,电压-无功控制V1点,int16_t,1000,0.92,0.92,"{""type"":""range"", ""min"":""VOLT_VAR_VREF-0.18"", ""max"":""VOLT_VAR_V2-0.02"", ""step"":0.001, ""unit"":""p.u.""}",input-number,,21,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_V1
22,601,0x1842dd00,电压-无功控制V2点,int16_t,1000,0.98,0.98,"{""type"":""range"", ""min"":""VOLT_VAR_VREF-0.03"", ""max"":""VOLT_VAR_VREF"", ""step"":0.001, ""unit"":""p.u.""}",input-number,,22,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_V2
23,602,0x1842dd00,电压-无功控制V3点,int16_t,1000,1.02,1.02,"{""type"":""range"", ""min"":""VOLT_VAR_VREF"", ""max"":""VOLT_VAR_VREF+0.03"", ""step"":0.001, ""unit"":""p.u.""}",input-number,,23,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_V3
24,603,0x1842dd00,电压-无功控制V4点,int16_t,1000,1.08,1.08,"{""type"":""range"", ""min"":""VOLT_VAR_V3+0.02"", ""max"":""VOLT_VAR_VREF+0.18"", ""step"":0.001, ""unit"":""p.u.""}",input-number,,24,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_V4
25,604,0x1843dd00,电压-无功控制Q1点,int16_t,1000,0.44,0.44,"{""type"":""range"", ""min"":0.0, ""max"":1.0, ""step"":0.001, ""unit"":""p.u.""}",input-number,,25,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_Q1
26,605,0x1843dd00,电压-无功控制Q2点,int16_t,1000,0,0,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.001, ""unit"":""p.u.""}",input-number,,26,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_Q2
27,606,0x1843dd00,电压-无功控制Q3点,int16_t,1000,0,0,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.001, ""unit"":""p.u.""}",input-number,,27,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_Q3
28,607,0x1843dd00,电压-无功控制Q4点,int16_t,1000,-0.44,-0.44,"{""type"":""range"", ""min"":-1.0, ""max"":0.0, ""step"":0.001, ""unit"":""p.u.""}",input-number,,28,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_Q4
29,608,0x1844dd00,功率-无功控制曲线P3p点,int16_t,100,-1,-1,"{""type"":""range"", ""min"":-1.0, ""max"":""WATT_VAR_P2P-0.1"", ""step"":0.01, ""unit"":""p.u.""}",input-number,,29,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_P3P
30,609,0x1844dd00,功率-无功控制曲线P2p点,int16_t,100,-0.5,-0.5,"{""type"":""range"", ""min"":-0.8, ""max"":-0.4, ""step"":0.01, ""unit"":""p.u.""}",input-number,,30,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_P2P
31,610,0x1844dd00,功率-无功控制曲线P1p点,int16_t,100,-0.2,-0.2,"{""type"":""range"", ""min"":""WATT_VAR_P2P+0.1"", ""max"":0.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,31,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_P1P
32,611,0x1844dd00,功率-无功控制曲线P1点,int16_t,100,0.2,0.2,"{""type"":""range"", ""min"":0.0, ""max"":""WATT_VAR_P2-0.1"", ""step"":0.01, ""unit"":""p.u.""}",input-number,,32,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_P1
33,612,0x1845dd00,功率-无功控制曲线Q3p点,int16_t,100,0.44,0.44,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,33,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_Q3P
34,613,0x1845dd00,功率-无功控制曲线Q2p点,int16_t,100,0,0,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,34,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_Q2P
35,614,0x1845dd00,功率-无功控制曲线Q1p点,int16_t,100,0,0,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,35,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_Q1P
36,615,0x1845dd00,功率-无功控制曲线Q1点,int16_t,100,0,0,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,36,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_Q1
37,616,0x1846dd00,功率-无功控制曲线P2点,int16_t,100,0.5,0.5,"{""type"":""range"", ""min"":0.4, ""max"":0.8, ""step"":0.01, ""unit"":""p.u.""}",input-number,,37,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_P2
38,617,0x1846dd00,功率-无功控制曲线P3点,int16_t,100,1,1,"{""type"":""range"", ""min"":""WATT_VAR_P2+0.1"", ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,38,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_P3
39,618,0x1846dd00,有功功率上升速率,int16_t,1,10000,10000,"{""type"":""range"", ""min"":100, ""max"":10000, ""step"":1, ""unit"":""kW/sec""}",input-number,,39,2026/5/21 10:21,2026/5/21 10:21,ACTIVE_POWER_RISE_SPEED
40,619,0x1846dd00,恒功率因数模式（超前/滞后）,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":1,""label"":""Absorb""},{""value"":0,""label"":""Inject""}]}",select,,40,2026/5/21 10:21,2026/5/21 10:21,CONST_POWER_FACTOR_EXCITATION
41,620,0x1847dd00,功率-无功控制曲线Q2点,int16_t,100,0,0,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,41,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_Q2
42,621,0x1847dd00,功率-无功控制曲线Q3点,int16_t,100,-0.44,-0.44,"{""type"":""range"", ""min"":-1.0, ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,42,2026/5/21 10:21,2026/5/21 10:21,WATT_VAR_Q3
43,622,0x1847dd00,无功功率上升速率,int16_t,1,10000,10000,"{""type"":""range"", ""min"":100, ""max"":10000, ""step"":1, ""unit"":""kVar/sec""}",input-number,,43,2026/5/21 10:21,2026/5/21 10:21,REACTIVE_POWER_RISE_SPEED
44,623,0x1847dd00,恒功率因数设定值,int16_t,100,1,1,"{""type"":""range"", ""min"":0.0, ""max"":1.0, ""step"":0.01, ""unit"":""""}",input-number,,44,2026/5/21 10:21,2026/5/21 10:21,CONST_POWER_FACTOR_SETTING
45,624,0x1848dd00,离网模式电压变化率,int16_t,1,100,100,"{""type"":""range"", ""min"":10, ""max"":200, ""step"":1, ""unit"":""V/sec""}",input-number,,45,2026/5/21 10:21,2026/5/21 10:21,ISLANDING_VOLTAGE_SLOPE
46,625,0x1848dd00,视在功率百分比,int16_t,1,100,100,"{""type"":""range"", ""min"":0, ""max"":100, ""step"":1, ""unit"":""%""}",input-number,,46,2026/5/21 10:21,2026/5/21 10:21,APPARENT_POWER_PERCENTAGE
