id,point_id,can_id,param_name,data_type,coefficient,default_value,current_value,value_config,ui_type,description,sort_order,created_at,updated_at,param_ename
1,360,0x1832dd00,Cal.Rvircf,int16_t,10,0.5,0.5,"{""type"":""range"", ""min"":0.0, ""max"":1.5, ""step"":0.1, ""unit"":""Ohm""}",input-number,,1,2026/8/11 10:29,2026/8/11 10:29,Cal.Rvircf
2,361,0x1832dd00,Cal.RvirIcmLF,int16_t,100,0,0,"{""type"":""range"", ""min"":0.0, ""max"":5.0, ""step"":0.01, ""unit"":""Ohm""}",input-number,,2,2026/8/11 10:29,2026/8/11 10:29,Cal.RvirIcmLF
3,362,0x1832dd00,Cal.RvirIcmLfFc,int16_t,10,50,50,"{""type"":""range"", ""min"":1.0, ""max"":100.0, ""step"":0.1, ""unit"":""Hz""}",input-number,,3,2026/8/11 10:29,2026/8/11 10:29,Cal.RvirIcmLfFc
4,363,0x1832dd00,g_f32VmidGainScale,int16_t,100,1,1,"{""type"":""range"", ""min"":0.01, ""max"":1.0, ""step"":0.01, ""unit"":""p.u.""}",input-number,,4,2026/8/11 10:29,2026/8/11 10:29,g_f32VmidGainScale
5,364,0x1833dd00,并网点参考电压,int16_t,1,690,690,"{""type"":""range"", ""min"":680, ""max"":730, ""step"":1, ""unit"":""V""}",input-number,,5,2026/8/11 10:29,2026/8/11 10:29,PCC_REFERENCE_VOLTAGE
6,365,0x1833dd00,电网额定频率,int16_t,1,60,60,"{""type"":""select"", ""options"":[{""value"":50,""label"":""50""},{""value"":60,""label"":""60""}]}",select,,6,2026/8/11 10:29,2026/8/11 10:29,GRID_RATED_FREQUENCY
7,366,0x1833dd00,频率-有功功能使能,int16_t,1,1,1,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,7,2026/8/11 10:29,2026/8/11 10:29,FRE_WATT_ENABLE
8,367,0x1833dd00,电压-有功功能使能,int16_t,1,1,1,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,8,2026/8/11 10:29,2026/8/11 10:29,VOLT_WATT_ENABLE
9,368,0x1834dd00,电压-无功参考电压自动调整使能,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,9,2026/8/11 10:29,2026/8/11 10:29,VOLT_VAR_VREF_AUTO_ADJ_ENABLE
10,369,0x1834dd00,防孤岛使能,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,10,2026/8/11 10:29,2026/8/11 10:29,ANTI_ISLANDING_ENABLE
11,370,0x1834dd00,有功功率限制使能,int16_t,1,1,1,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,11,2026/8/11 10:29,2026/8/11 10:29,LIMIT_ACTIVE_POWER_ENABLE
12,371,0x1834dd00,无功功率控制模式,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":0,""label"":""Const Var""},{""value"":1,""label"":""Const PF""},{""value"":2,""label"":""Volt Var""},{""value"":3,""label"":""Watt Var""}]}",select,,12,2026/8/11 10:29,2026/8/11 10:29,REACTIVE_POWER_REG_MODE
13,372,0x1835dd00,充电模式,int16_t,1,3,3,"{""type"":""select"", ""options"":[{""value"":1,""label"":""Const Current""},{""value"":2,""label"":""Const Voltage""},{""value"":3,""label"":""Const Power""}]}",select,,13,2026/8/11 10:29,2026/8/11 10:29,CHARGE_MODE
14,373,0x1835dd00,视在功率限制使能,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,14,2026/8/11 10:29,2026/8/11 10:29,LIMIT_APPARENT_POWER_ENABLE
