id,point_id,can_id,param_name,data_type,coefficient,default_value,current_value,value_config,ui_type,description,sort_order,created_at,updated_at,param_ename
1,360,0x1832dd00,内部降额起始温度,int16_t,1,60,60,"{""type"":""range"", ""min"":40, ""max"":90, ""step"":1, ""unit"":""degC""}",input-number,,1,2026/5/21 10:21,2026/5/21 10:21,g_s16InternalDerateStart
2,364,0x1833dd00,并网点参考电压,int16_t,1,690,690,"{""type"":""range"", ""min"":680, ""max"":730, ""step"":1, ""unit"":""V""}",input-number,,2,2026/5/21 10:21,2026/5/21 10:21,PCC_REFERENCE_VOLTAGE
3,365,0x1833dd00,电网额定频率,int16_t,1,60,60,"{""type"":""select"", ""options"":[{""value"":50,""label"":""50""},{""value"":60,""label"":""60""}]}",select,,3,2026/5/21 10:21,2026/5/21 10:21,GRID_RATED_FREQUENCY
4,366,0x1833dd00,频率-有功功能使能,int16_t,1,1,1,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,4,2026/5/21 10:21,2026/5/21 10:21,FRE_WATT_ENABLE
5,367,0x1833dd00,电压-有功功能使能,int16_t,1,1,1,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,5,2026/5/21 10:21,2026/5/21 10:21,VOLT_WATT_ENABLE
6,368,0x1834dd00,电压-无功参考电压自动调整使能,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,6,2026/5/21 10:21,2026/5/21 10:21,VOLT_VAR_VREF_AUTO_ADJ_ENABLE
7,369,0x1834dd00,防孤岛使能,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,7,2026/5/21 10:21,2026/5/21 10:21,ANTI_ISLANDING_ENABLE
8,370,0x1834dd00,有功功率限制使能,int16_t,1,1,1,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,8,2026/5/21 10:21,2026/5/21 10:21,LIMIT_ACTIVE_POWER_ENABLE
9,371,0x1834dd00,无功功率控制模式,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":0,""label"":""Const Var""},{""value"":1,""label"":""Const PF""},{""value"":2,""label"":""Volt Var""},{""value"":3,""label"":""Watt Var""}]}",select,,9,2026/5/21 10:21,2026/5/21 10:21,REACTIVE_POWER_REG_MODE
10,372,0x1835dd00,充电模式,int16_t,1,3,3,"{""type"":""select"", ""options"":[{""value"":1,""label"":""Const Current""},{""value"":2,""label"":""Const Voltage""},{""value"":3,""label"":""Const Power""}]}",select,,10,2026/5/21 10:21,2026/5/21 10:21,CHARGE_MODE
11,373,0x1835dd00,视在功率限制使能,int16_t,1,0,0,"{""type"":""select"", ""options"":[{""value"":1,""label"":""ON""},{""value"":0,""label"":""OFF""}]}",select,,11,2026/5/21 10:21,2026/5/21 10:21,LIMIT_APPARENT_POWER_ENABLE
