# RBMS_CellBalSt 0x03:0x04，52B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 模拟默认值（尽量非零、便于联调）
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
RBMS_CellBalStatus_1,1,0,1,1,0,1,,Uint8,
RBMS_CellBalStatus_2,1,1,1,1,0,1,,Uint8,
RBMS_CellBalStatus_3,1,2,1,1,0,1,,Uint8,
RBMS_CellBalStatus_4,1,3,1,1,0,1,,Uint8,
RBMS_CellBalStatus_5,1,4,1,1,0,1,,Uint8,
RBMS_CellBalStatus_6,1,5,1,1,0,1,,Uint8,
RBMS_CellBalStatus_7,1,6,1,1,0,1,,Uint8,
RBMS_CellBalStatus_8,1,7,1,1,0,1,,Uint8,
RBMS_CellBalStatus_9,2,8,1,1,0,0,,Uint8,
RBMS_CellBalStatus_10,2,9,1,1,0,0,,Uint8,
RBMS_CellBalStatus_11,2,10,1,1,0,0,,Uint8,
RBMS_CellBalStatus_12,2,11,1,1,0,0,,Uint8,
RBMS_CellBalStatus_13,2,12,1,1,0,0,,Uint8,
RBMS_CellBalStatus_14,2,13,1,1,0,0,,Uint8,
RBMS_CellBalStatus_15,2,14,1,1,0,0,,Uint8,
RBMS_CellBalStatus_16,2,15,1,1,0,0,,Uint8,
RBMS_CellBalStatus_17,3,16,1,1,0,1,,Uint8,
RBMS_CellBalStatus_18,3,17,1,1,0,1,,Uint8,
RBMS_CellBalStatus_19,3,18,1,1,0,1,,Uint8,
RBMS_CellBalStatus_20,3,19,1,1,0,1,,Uint8,
RBMS_CellBalStatus_21,3,20,1,1,0,1,,Uint8,
RBMS_CellBalStatus_22,3,21,1,1,0,1,,Uint8,
RBMS_CellBalStatus_23,3,22,1,1,0,1,,Uint8,
RBMS_CellBalStatus_24,3,23,1,1,0,1,,Uint8,
RBMS_CellBalStatus_25,4,24,1,1,0,0,,Uint8,
RBMS_CellBalStatus_26,4,25,1,1,0,0,,Uint8,
RBMS_CellBalStatus_27,4,26,1,1,0,0,,Uint8,
RBMS_CellBalStatus_28,4,27,1,1,0,0,,Uint8,
RBMS_CellBalStatus_29,4,28,1,1,0,0,,Uint8,
RBMS_CellBalStatus_30,4,29,1,1,0,0,,Uint8,
RBMS_CellBalStatus_31,4,30,1,1,0,0,,Uint8,
RBMS_CellBalStatus_32,4,31,1,1,0,0,,Uint8,
RBMS_CellBalStatus_33,5,32,1,1,0,1,,Uint8,
RBMS_CellBalStatus_34,5,33,1,1,0,1,,Uint8,
RBMS_CellBalStatus_35,5,34,1,1,0,1,,Uint8,
RBMS_CellBalStatus_36,5,35,1,1,0,1,,Uint8,
RBMS_CellBalStatus_37,5,36,1,1,0,1,,Uint8,
RBMS_CellBalStatus_38,5,37,1,1,0,1,,Uint8,
RBMS_CellBalStatus_39,5,38,1,1,0,1,,Uint8,
RBMS_CellBalStatus_40,5,39,1,1,0,1,,Uint8,
RBMS_CellBalStatus_41,6,40,1,1,0,0,,Uint8,
RBMS_CellBalStatus_42,6,41,1,1,0,0,,Uint8,
RBMS_CellBalStatus_43,6,42,1,1,0,0,,Uint8,
RBMS_CellBalStatus_44,6,43,1,1,0,0,,Uint8,
RBMS_CellBalStatus_45,6,44,1,1,0,0,,Uint8,
RBMS_CellBalStatus_46,6,45,1,1,0,0,,Uint8,
RBMS_CellBalStatus_47,6,46,1,1,0,0,,Uint8,
RBMS_CellBalStatus_48,6,47,1,1,0,0,,Uint8,
RBMS_CellBalStatus_49,7,48,1,1,0,1,,Uint8,
RBMS_CellBalStatus_50,7,49,1,1,0,1,,Uint8,
RBMS_CellBalStatus_51,7,50,1,1,0,1,,Uint8,
RBMS_CellBalStatus_52,7,51,1,1,0,1,,Uint8,
RBMS_CellBalStatus_53,7,52,1,1,0,1,,Uint8,
RBMS_CellBalStatus_54,7,53,1,1,0,1,,Uint8,
RBMS_CellBalStatus_55,7,54,1,1,0,1,,Uint8,
RBMS_CellBalStatus_56,7,55,1,1,0,1,,Uint8,
RBMS_CellBalStatus_57,8,56,1,1,0,0,,Uint8,
RBMS_CellBalStatus_58,8,57,1,1,0,0,,Uint8,
RBMS_CellBalStatus_59,8,58,1,1,0,0,,Uint8,
RBMS_CellBalStatus_60,8,59,1,1,0,0,,Uint8,
RBMS_CellBalStatus_61,8,60,1,1,0,0,,Uint8,
RBMS_CellBalStatus_62,8,61,1,1,0,0,,Uint8,
RBMS_CellBalStatus_63,8,62,1,1,0,0,,Uint8,
RBMS_CellBalStatus_64,8,63,1,1,0,0,,Uint8,
RBMS_CellBalStatus_65,9,64,1,1,0,1,,Uint8,
RBMS_CellBalStatus_66,9,65,1,1,0,1,,Uint8,
RBMS_CellBalStatus_67,9,66,1,1,0,1,,Uint8,
RBMS_CellBalStatus_68,9,67,1,1,0,1,,Uint8,
RBMS_CellBalStatus_69,9,68,1,1,0,1,,Uint8,
RBMS_CellBalStatus_70,9,69,1,1,0,1,,Uint8,
RBMS_CellBalStatus_71,9,70,1,1,0,1,,Uint8,
RBMS_CellBalStatus_72,9,71,1,1,0,1,,Uint8,
RBMS_CellBalStatus_73,10,72,1,1,0,0,,Uint8,
RBMS_CellBalStatus_74,10,73,1,1,0,0,,Uint8,
RBMS_CellBalStatus_75,10,74,1,1,0,0,,Uint8,
RBMS_CellBalStatus_76,10,75,1,1,0,0,,Uint8,
RBMS_CellBalStatus_77,10,76,1,1,0,0,,Uint8,
RBMS_CellBalStatus_78,10,77,1,1,0,0,,Uint8,
RBMS_CellBalStatus_79,10,78,1,1,0,0,,Uint8,
RBMS_CellBalStatus_80,10,79,1,1,0,0,,Uint8,
RBMS_CellBalStatus_81,11,80,1,1,0,1,,Uint8,
RBMS_CellBalStatus_82,11,81,1,1,0,1,,Uint8,
RBMS_CellBalStatus_83,11,82,1,1,0,1,,Uint8,
RBMS_CellBalStatus_84,11,83,1,1,0,1,,Uint8,
RBMS_CellBalStatus_85,11,84,1,1,0,1,,Uint8,
RBMS_CellBalStatus_86,11,85,1,1,0,1,,Uint8,
RBMS_CellBalStatus_87,11,86,1,1,0,1,,Uint8,
RBMS_CellBalStatus_88,11,87,1,1,0,1,,Uint8,
RBMS_CellBalStatus_89,12,88,1,1,0,0,,Uint8,
RBMS_CellBalStatus_90,12,89,1,1,0,0,,Uint8,
