# RBMS_CellSdr 0x03:0x05，416B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 模拟默认值（尽量非零、便于联调）
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
RBMS_CellSdrate_1,1,0,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_2,2,8,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_3,3,16,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_4,4,24,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_5,5,32,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_6,6,40,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_7,7,48,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_8,8,56,8,0.5,0,0,,Uint8,
RBMS_CellSdrate_9,9,64,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_10,10,72,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_11,11,80,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_12,12,88,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_13,13,96,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_14,14,104,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_15,15,112,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_16,16,120,8,0.5,0,0.5,,Uint8,
RBMS_CellSdrate_17,17,128,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_18,18,136,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_19,19,144,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_20,20,152,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_21,21,160,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_22,22,168,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_23,23,176,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_24,24,184,8,0.5,0,1,,Uint8,
RBMS_CellSdrate_25,25,192,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_26,26,200,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_27,27,208,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_28,28,216,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_29,29,224,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_30,30,232,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_31,31,240,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_32,32,248,8,0.5,0,1.5,,Uint8,
RBMS_CellSdrate_33,33,256,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_34,34,264,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_35,35,272,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_36,36,280,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_37,37,288,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_38,38,296,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_39,39,304,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_40,40,312,8,0.5,0,2,,Uint8,
RBMS_CellSdrate_41,41,320,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_42,42,328,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_43,43,336,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_44,44,344,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_45,45,352,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_46,46,360,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_47,47,368,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_48,48,376,8,0.5,0,2.5,,Uint8,
RBMS_CellSdrate_49,49,384,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_50,50,392,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_51,51,400,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_52,52,408,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_53,53,416,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_54,54,424,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_55,55,432,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_56,56,440,8,0.5,0,3,,Uint8,
RBMS_CellSdrate_57,57,448,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_58,58,456,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_59,59,464,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_60,60,472,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_61,61,480,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_62,62,488,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_63,63,496,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_64,64,504,8,0.5,0,3.5,,Uint8,
RBMS_CellSdrate_65,65,512,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_66,66,520,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_67,67,528,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_68,68,536,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_69,69,544,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_70,70,552,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_71,71,560,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_72,72,568,8,0.5,0,4,,Uint8,
RBMS_CellSdrate_73,73,576,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_74,74,584,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_75,75,592,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_76,76,600,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_77,77,608,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_78,78,616,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_79,79,624,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_80,80,632,8,0.5,0,4.5,,Uint8,
RBMS_CellSdrate_81,81,640,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_82,82,648,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_83,83,656,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_84,84,664,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_85,85,672,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_86,86,680,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_87,87,688,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_88,88,696,8,0.5,0,5,,Uint8,
RBMS_CellSdrate_89,89,704,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_90,90,712,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_91,91,720,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_92,92,728,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_93,93,736,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_94,94,744,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_95,95,752,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_96,96,760,8,0.5,0,5.5,,Uint8,
RBMS_CellSdrate_97,97,768,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_98,98,776,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_99,99,784,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_100,100,792,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_101,101,800,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_102,102,808,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_103,103,816,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_104,104,824,8,0.5,0,6,,Uint8,
RBMS_CellSdrate_105,105,832,8,0.5,0,6.5,,Uint8,
RBMS_CellSdrate_106,106,840,8,0.5,0,6.5,,Uint8,
RBMS_CellSdrate_107,107,848,8,0.5,0,6.5,,Uint8,
RBMS_CellSdrate_108,108,856,8,0.5,0,6.5,,Uint8,
RBMS_CellSdrate_109,109,864,8,0.5,0,6.5,,Uint8,
RBMS_CellSdrate_110,110,872,8,0.5,0,6.5,,Uint8,
RBMS_CellSdrate_111,111,880,8,0.5,0,6.5,,Uint8,
RBMS_CellSdrate_112,112,888,8,0.5,0,6.5,,Uint8,
