# RBMS_Debug 0x03:0x17，30B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 模拟默认值（尽量非零、便于联调）
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
SbCTSC_AllwPrechFlg,1,0,1,1,0,1,,Uint8,
SbCTSC_BSWSMainNegRlyDryContactFlg,1,1,1,1,0,1,,Uint8,
SbCTSC_BSWSMainPosRlyDryContactFlg,1,2,1,1,0,1,,Uint8,
SbCTSC_SafetyState3TriggerFlg,1,3,1,1,0,1,,Uint8,
Reserved,1,4,4,1,0,15,,Uint16,
ScCTSC_HvPowupCmdNbr,2,8,8,1,0,2,,Uint8,
ScCTSC_CtrlModeState,3,16,8,1,0,3,,Uint8,
ScCTSC_MainPosRlyLsdDrvRawVoltV,4,24,16,0.1,0,12,,Uint16,
ScCTSC_MainNegRlyLsdDrvRawVoltV,6,40,16,0.1,0,12,,Uint16,
ScCTSC_GroundChannelRawVoltmV,8,56,16,1,0,12000,,Uint16,
ScCTSC_MainPosRlyHsdDrvRawCurmA,10,72,16,0.1,0,150,,Uint16,
ScCTSC_PrechRlyHsdDrvRawCurmA,12,88,16,0.1,0,150,,Uint16,
ScCTSC_MainNegRlyHsdDrvRawCurmA,14,104,16,0.1,0,150,,Uint16,
ScCTSC_PrechOverTiCnt,16,120,8,1,0,1,,Uint8,
ScBTCS_BSWSBatIDiagInfoNbr,17,128,2,1,0,2,,Uint16,
ScBTCS_BSWSMsgAvlNbr,17,130,2,1,0,2,,Uint16,
SbLVPH_CurrSnsrPowSplyNotOutRngFlg,17,132,1,1,0,1,,Uint8,
SbCTSC_RlyLoadBreakFlg,17,133,1,1,0,1,,Uint8,
Reserved1,17,134,2,1,0,3,,Uint16,
ScCTSC_RlyLoadBreakCurrentA,18,136,32,0.001,-2000,2.5,,Uint32,
ScBTCS_BSWSMsgCtrResNbr,22,168,2,1,0,2,,Uint16,
ScBTCS_BSWSMsgCRCResNbr,22,170,2,1,0,2,,Uint16,
ScBTCS_BSWSCurValVldNbr,22,172,2,1,0,2,,Uint16,
ScBTCS_CANBatIZeroDriftNbr,22,174,2,1,0,2,,Uint16,
BSWSAFESampErrMonitor,23,176,32,1,0,100,,Uint32,
BSWEthPHYChipResetNbr,27,208,32,1,0,2,,Uint32,
animate,,,,,,false,,
