# RBMS_Fault 0x04:0x01，25B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 模拟默认值（尽量非零、便于联调）
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
RBMS_Fault_1,1,0,1,1,0,1,,Uint8,
RBMS_Fault_2,1,1,1,1,0,1,,Uint8,
RBMS_Fault_3,1,2,1,1,0,1,,Uint8,
RBMS_Fault_4,1,3,1,1,0,1,,Uint8,
RBMS_Fault_5,1,4,1,1,0,1,,Uint8,
RBMS_Fault_6,1,5,1,1,0,1,,Uint8,
RBMS_Fault_7,1,6,1,1,0,1,,Uint8,
RBMS_Fault_8,1,7,1,1,0,1,,Uint8,
RBMS_Fault_9,2,8,1,1,0,0,,Uint8,
RBMS_Fault_10,2,9,1,1,0,0,,Uint8,
RBMS_Fault_11,2,10,1,1,0,0,,Uint8,
RBMS_Fault_12,2,11,1,1,0,0,,Uint8,
RBMS_Fault_13,2,12,1,1,0,0,,Uint8,
RBMS_Fault_14,2,13,1,1,0,0,,Uint8,
RBMS_Fault_15,2,14,1,1,0,0,,Uint8,
RBMS_Fault_16,2,15,1,1,0,0,,Uint8,
RBMS_Fault_17,3,16,1,1,0,1,,Uint8,
RBMS_Fault_18,3,17,1,1,0,1,,Uint8,
RBMS_Fault_19,3,18,1,1,0,1,,Uint8,
RBMS_Fault_20,3,19,1,1,0,1,,Uint8,
RBMS_Fault_21,3,20,1,1,0,1,,Uint8,
RBMS_Fault_22,3,21,1,1,0,1,,Uint8,
RBMS_Fault_23,3,22,1,1,0,1,,Uint8,
RBMS_Fault_24,3,23,1,1,0,1,,Uint8,
RBMS_Fault_25,4,24,1,1,0,0,,Uint8,
RBMS_Fault_26,4,25,1,1,0,0,,Uint8,
RBMS_Fault_27,4,26,1,1,0,0,,Uint8,
RBMS_Fault_28,4,27,1,1,0,0,,Uint8,
RBMS_Fault_29,4,28,1,1,0,0,,Uint8,
RBMS_Fault_30,4,29,1,1,0,0,,Uint8,
RBMS_Fault_31,4,30,1,1,0,0,,Uint8,
RBMS_Fault_32,4,31,1,1,0,0,,Uint8,
RBMS_Fault_33,5,32,1,1,0,1,,Uint8,
RBMS_Fault_34,5,33,1,1,0,1,,Uint8,
RBMS_Fault_35,5,34,1,1,0,1,,Uint8,
RBMS_Fault_36,5,35,1,1,0,1,,Uint8,
RBMS_Fault_37,5,36,1,1,0,1,,Uint8,
RBMS_Fault_38,5,37,1,1,0,1,,Uint8,
RBMS_Fault_39,5,38,1,1,0,1,,Uint8,
RBMS_Fault_40,5,39,1,1,0,1,,Uint8,
RBMS_Fault_41,6,40,1,1,0,0,,Uint8,
RBMS_Fault_42,6,41,1,1,0,0,,Uint8,
RBMS_Fault_43,6,42,1,1,0,0,,Uint8,
RBMS_Fault_44,6,43,1,1,0,0,,Uint8,
RBMS_Fault_45,6,44,1,1,0,0,,Uint8,
RBMS_Fault_46,6,45,1,1,0,0,,Uint8,
RBMS_Fault_47,6,46,1,1,0,0,,Uint8,
RBMS_Fault_48,6,47,1,1,0,0,,Uint8,
RBMS_Fault_49,7,48,1,1,0,1,,Uint8,
RBMS_Fault_50,7,49,1,1,0,1,,Uint8,
RBMS_Fault_51,7,50,1,1,0,1,,Uint8,
RBMS_Fault_52,7,51,1,1,0,1,,Uint8,
RBMS_Fault_53,7,52,1,1,0,1,,Uint8,
RBMS_Fault_54,7,53,1,1,0,1,,Uint8,
RBMS_Fault_55,7,54,1,1,0,1,,Uint8,
RBMS_Fault_56,7,55,1,1,0,1,,Uint8,
RBMS_Fault_57,8,56,1,1,0,0,,Uint8,
RBMS_Fault_58,8,57,1,1,0,0,,Uint8,
RBMS_Fault_59,8,58,1,1,0,0,,Uint8,
RBMS_Fault_60,8,59,1,1,0,0,,Uint8,
RBMS_Fault_61,8,60,1,1,0,0,,Uint8,
RBMS_Fault_62,8,61,1,1,0,0,,Uint8,
RBMS_Fault_63,8,62,1,1,0,0,,Uint8,
RBMS_Fault_64,8,63,1,1,0,0,,Uint8,
RBMS_Fault_65,9,64,1,1,0,1,,Uint8,
RBMS_Fault_66,9,65,1,1,0,1,,Uint8,
RBMS_Fault_67,9,66,1,1,0,1,,Uint8,
RBMS_Fault_68,9,67,1,1,0,1,,Uint8,
RBMS_Fault_69,9,68,1,1,0,1,,Uint8,
RBMS_Fault_70,9,69,1,1,0,1,,Uint8,
RBMS_Fault_71,9,70,1,1,0,1,,Uint8,
RBMS_Fault_72,9,71,1,1,0,1,,Uint8,
RBMS_Fault_73,10,72,1,1,0,0,,Uint8,
RBMS_Fault_74,10,73,1,1,0,0,,Uint8,
RBMS_Fault_75,10,74,1,1,0,0,,Uint8,
RBMS_Fault_76,10,75,1,1,0,0,,Uint8,
RBMS_Fault_77,10,76,1,1,0,0,,Uint8,
RBMS_Fault_78,10,77,1,1,0,0,,Uint8,
RBMS_Fault_79,10,78,1,1,0,0,,Uint8,
RBMS_Fault_80,10,79,1,1,0,0,,Uint8,
RBMS_Fault_81,11,80,1,1,0,1,,Uint8,
RBMS_Fault_82,11,81,1,1,0,1,,Uint8,
