# RBMS_SOXdebugData1 0x03:0x19，60B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 模拟默认值（尽量非零、便于联调）
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
ScSGPC_BatIA,1,0,32,0.001,-2000,2.5,,Uint32,
ScSGPC_MaxCellVmV,5,32,16,1,0,3350,,Uint16,
ScSGPC_MinCellVmV,7,48,16,1,0,3200,,Uint16,
ScSGPC_MaxCellTDegC,9,64,16,0.1,-40,35,,Int16,
ScSGPC_MinCellTDegC,11,80,16,0.1,-40,22,,Int16,
ScSGPC_AvgCellTDegC,13,96,16,0.1,-40,28,,Int16,
ScCSPC_FullChEnaNbr,15,112,8,1,0,1,,Uint8,
ScCSPC_FullDischEnaNbr,16,120,8,1,0,1,,Uint8,
ScHIST_HistAccuChCapAh,17,128,32,0.0625,0,280,,Uint32,
ScHIST_HistAccuDischCapAh,21,160,32,0.0625,0,280,,Uint32,
ScSGPC_BatIStNbr,25,192,8,1,0,2,,Uint8,
ScSGPC_LstSleepDurTiMin,26,200,32,1,0,120,,Uint32,
ScSGPC_HisSleepTiMin,30,232,32,1,0,120,,Uint32,
ScSGPC_HisRunTiMin,34,264,32,1,0,120,,Uint32,
ScHIST_CycNbr,38,296,16,1,0,2,,Uint16,
BSWSAllSOHCalIndicator,40,312,8,1,0,1,,Uint8,
BSWSAllSOHCalValPct,41,320,8,1,0,95,,Uint8,
ScBTCS_RackChrgCapmAh,42,328,32,0.001,0,125000,,Uint32,
ScBTCS_RackDsChrgCapmAh,46,360,32,0.001,0,125000,,Uint32,
Reserved,50,392,8,1,0,0,,Uint8,
Reserved1,51,400,16,1,0,0,,Uint16,
BSWSRSOXHistInfoIndicator,53,416,8,1,0,1,,Uint8,
BSWSAllSOCCalIndicator,54,424,8,1,0,1,,Uint8,
BSWSAllSOCCalValPct,55,432,8,1,0,95,,Uint8,
SbSGPC_BatIVldFlg,56,440,1,1,0,1,,Uint8,
SbSGPC_GenlCellVVldFlg,56,441,1,1,0,1,,Uint8,
SbSGPC_GenlCellTVldFlg,56,442,1,1,0,1,,Uint8,
SbSGPC_MaxCellVMdulTVldFlg,56,443,1,1,0,1,,Uint8,
SbSGPC_MinCellVMdulTVldFlg,56,444,1,1,0,1,,Uint8,
Reserved2,56,445,3,1,0,7,,Uint16,
ScSGPC_MaxCellVMdulTDegC,57,448,16,0.1,-40,35,,Int16,
ScSGPC_MinCellVMdulTDegC,59,464,16,0.1,-40,22,,Int16,
animate,,,,,,false,,
