# RBMS_SOXdebugData2 0x03:0x1A，63B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 模拟默认值（尽量非零、便于联调）
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
SaSGPC_CellVmVxT_1,1,0,16,1,0,3250,,Uint16,
SaSGPC_CellVmVxT_2,3,16,16,1,0,3258,,Uint16,
SaSGPC_CellVmVxT_3,5,32,16,1,0,3266,,Uint16,
SaSGPC_CellVmVxT_4,7,48,16,1,0,3274,,Uint16,
SaSGPC_CellVmVxT_5,9,64,16,1,0,3282,,Uint16,
SaSGPC_CellVmVxT_6,11,80,16,1,0,3290,,Uint16,
SaSGPC_CellVmVxT_7,13,96,16,1,0,3298,,Uint16,
SaSGPC_CellVmVxT_8,15,112,16,1,0,3306,,Uint16,
SaSGPC_CellVmVxT_9,17,128,16,1,0,3314,,Uint16,
SaSGPC_CellVmVxT_10,19,144,16,1,0,3322,,Uint16,
ScSOHA_RealSysSOHCPct,21,160,16,0.01,0,82.5,,Uint16,
ScSOHA_DispSysSOHCPct,23,176,16,0.01,0,80,,Uint16,
ScSOHA_DFCLCapResultAh,25,192,16,0.1,0,280,,Uint16,
ScSOHA_DFCLPointSOCPct,27,208,16,0.01,0,75,,Uint16,
ScSOHA_DFCLPointStats,29,224,8,1,0,2,,Uint8,
ScSOHA_DFCLPointCapAh,30,232,16,0.1,-1500,285,,Int16,
ScSOHA_DFCLPointTimeDay,32,248,16,1,0,365,,Uint16,
ScSOHA_MFCLCapResultAh,34,264,16,0.1,0,280,,Uint16,
ScSOHA_MFCLTargtValueVmax,36,280,16,1,0,3400,,Uint16,
ScSOHA_MFCLTargtValueVmin,38,296,16,1,0,3100,,Uint16,
SaSOCA_MaxMinSOCPct1,40,312,16,0.01,0,88,,Uint16,
SaSOCA_MaxMinSOCPct2,42,328,16,0.01,0,88,,Uint16,
SaSOCA_MaxMinSOCState1,44,344,8,1,0,2,,Uint8,
SaSOCA_MaxMinSOCState2,45,352,8,1,0,2,,Uint8,
SaSOCA_SimCellVmV1,46,360,16,1,0,3250,,Uint16,
SaSOCA_SimCellVmV2,48,376,16,1,0,3250,,Uint16,
ScSOHA_RealSysCapAh_dbug,50,392,16,0.1,0,280,,Uint16,
ScSOCA_RealSysSOCPct_dbug,52,408,16,0.01,0,82.5,,Uint16,
ScSOCA_SmthSysSOCPct,54,424,16,0.01,0,81,,Uint16,
ScSOCA_DispSysSOCPct,56,440,16,0.01,0,80,,Uint16,
ScSOHA_DFCLCalSuccFlg,58,456,1,1,0,1,,Uint8,
ScSOHA_MFCLCalSuccFlg,58,457,1,1,0,1,,Uint8,
ScSOHA_MFCLPoint1FlgVmax,58,458,1,1,0,1,,Uint8,
ScSOHA_MFCLPoint1FlgVmin,58,459,1,1,0,1,,Uint8,
ScSOHA_MFCLPoint2FlgVmax,58,460,1,1,0,1,,Uint8,
ScSOHA_MFCLPoint2FlgVmin,58,461,1,1,0,1,,Uint8,
ScSOHA_MFCLPoint3FlgVmax,58,462,1,1,0,1,,Uint8,
ScSOHA_MFCLPoint3FlgVmin,58,463,1,1,0,1,,Uint8,
ScSOCA_DispSOCState,59,464,8,1,0,2,,Uint8,
ScSOCA_TgtSysSOCPct,60,472,16,0.01,0,85,,Uint16,
ScSOCA_AccuCapAh,62,488,16,0.1,-3000,280,,Uint16,
animate,,,,,,false,,
