# RBMS_SumInfo 0x03:0x01，310B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 修改 value 后保存；模拟器每帧 SumInfo 前重新读取
# - RBMS_StrCtrlHb 心跳由模拟器自动递增，value 列可忽略
# - animate 行：true=在物理值基础上叠加正弦缓变
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
RBMS_St,1,0,8,1,0,3,,Uint8,
RBMS_ChaSt,2,8,8,1,0,1,,Uint8,
RBMS_SysOperSt,3,16,8,1,0,1,,Uint8,
RBMS_ConSt,4,24,16,1,0,1,,Uint16,
RBMS_ConFail,6,40,16,1,0,1,,Uint16,
RBMS_V,8,56,16,0.5,0,1,,Uint16,
RBMS_DCBusV,10,72,16,0.5,0,1,,Uint16,
RBMS_A_HighAccu,12,88,32,0.001,-2000,1,,Uint32,
RBMS_IsoR,16,120,16,1,0,1,,Uint16,
RBMS_HvBoxMaxTemp,18,136,16,0.1,-40,1,,Uint16,
RBMS_HvBoxMinTemp,20,152,16,0.1,-40,1,,Uint16,
Reserved3,22,168,8,1,0,0,,Uint8,
RBMS_LowPowSply,23,176,16,1,0,1,,Uint16,
RBMS_RlyCtrlSeqStState,25,192,4,1,0,1,,Uint16,
RBMS_ReverConDetecOpenFlg,25,196,1,1,0,1,,Uint8,
Reserved,25,197,3,1,0,7,,Uint16,
Reserved1,26,200,8,1,0,0,,Uint8,
RBMS_HisSleepTiWrMin,27,208,32,1,0,120,,Uint32,
RBMS_HisRunTiWrMin,31,240,32,1,0,120,,Uint32,
RBMS_LstSleepDurTiMin,35,272,32,1,0,120,,Uint32,
RBMS_IDLearnCodeSt,39,304,8,1,0,1,,Uint8,
RBMS_IsoRPos,40,312,16,1,0,1,,Uint16,
RBMS_IsoRNeg,42,328,16,1,0,1,,Uint16,
RBMS_CmdInhibitFlg,44,344,8,1,0,1,,Uint8,
RBMS_IslnHvVldNbr,45,352,8,1,0,2,,Uint8,
RBMS_IslnInhibitNbr,46,360,8,1,0,2,,Uint8,
RBMS_CellTMUXFaiIDNbr_1,47,368,8,1,0,255,,Uint8,
RBMS_CellTMUXFaiIDNbr_2,48,376,8,1,0,0,,Uint8,
RBMS_CellTMUXFaiIDNbr_3,49,384,8,1,0,255,,Uint8,
RBMS_CellTMUXFaiIDNbr_4,50,392,8,1,0,0,,Uint8,
RBMS_CellTMUXFaiIDNbr_5,51,400,8,1,0,255,,Uint8,
RBMS_CellTMUXFaiIDNbr_6,52,408,8,1,0,0,,Uint8,
RBMS_CellTMUXFaiIDNbr_7,53,416,8,1,0,255,,Uint8,
RBMS_CellTMUXFaiIDNbr_8,54,424,8,1,0,0,,Uint8,
