# RBMS_Temp 0x03:0x03，1188B
# 点表来源：BMS2.0 LAN Matrix V1.0.50（docs/BMS2.0 LAN Matrix V1.0.50.xlsx）
# - value(物理值)：工程单位；编码 raw = round((value - offset) / Resolution)
# - 模拟默认值（尽量非零、便于联调）
signal,Byte,Start Bit,Bit Length,Resolution,offset,value(物理值),data_type,unit
RBMS_ModTmp_1,1,0,16,0.1,-40,25,,Int16,
RBMS_ModTmp_2,3,16,16,0.1,-40,25.1,,Int16,
RBMS_ModTmp_3,5,32,16,0.1,-40,25.2,,Int16,
RBMS_ModTmp_4,7,48,16,0.1,-40,25.3,,Int16,
RBMS_ModTmp_5,9,64,16,0.1,-40,25.4,,Int16,
RBMS_ModTmp_6,11,80,16,0.1,-40,25.5,,Int16,
RBMS_ModTmp_7,13,96,16,0.1,-40,25.6,,Int16,
RBMS_ModTmp_8,15,112,16,0.1,-40,25.7,,Int16,
RBMS_ModTmp_9,17,128,16,0.1,-40,25.8,,Int16,
RBMS_ModTmp_10,19,144,16,0.1,-40,25.9,,Int16,
RBMS_ModTmp_11,21,160,16,0.1,-40,26,,Int16,
RBMS_ModTmp_12,23,176,16,0.1,-40,26.1,,Int16,
RBMS_ModTmp_13,25,192,16,0.1,-40,26.2,,Int16,
RBMS_ModTmp_14,27,208,16,0.1,-40,26.3,,Int16,
RBMS_ModTmp_15,29,224,16,0.1,-40,26.4,,Int16,
RBMS_ModTmp_16,31,240,16,0.1,-40,26.5,,Int16,
RBMS_ModTmp_17,33,256,16,0.1,-40,26.6,,Int16,
RBMS_ModTmp_18,35,272,16,0.1,-40,26.7,,Int16,
RBMS_ModTmp_19,37,288,16,0.1,-40,26.8,,Int16,
RBMS_ModTmp_20,39,304,16,0.1,-40,26.9,,Int16,
RBMS_ModTmp_21,41,320,16,0.1,-40,27,,Int16,
RBMS_ModTmp_22,43,336,16,0.1,-40,27.1,,Int16,
RBMS_ModTmp_23,45,352,16,0.1,-40,27.2,,Int16,
RBMS_ModTmp_24,47,368,16,0.1,-40,27.3,,Int16,
RBMS_ModTmp_25,49,384,16,0.1,-40,27.4,,Int16,
RBMS_ModTmp_26,51,400,16,0.1,-40,27.5,,Int16,
RBMS_ModTmp_27,53,416,16,0.1,-40,27.6,,Int16,
RBMS_ModTmp_28,55,432,16,0.1,-40,27.7,,Int16,
RBMS_ModTmp_29,57,448,16,0.1,-40,27.8,,Int16,
RBMS_ModTmp_30,59,464,16,0.1,-40,27.9,,Int16,
RBMS_ModTmp_31,61,480,16,0.1,-40,28,,Int16,
RBMS_ModTmp_32,63,496,16,0.1,-40,28.1,,Int16,
RBMS_ModTmp_33,65,512,16,0.1,-40,28.2,,Int16,
RBMS_ModTmp_34,67,528,16,0.1,-40,28.3,,Int16,
RBMS_ModTmp_35,69,544,16,0.1,-40,28.4,,Int16,
RBMS_ModTmp_36,71,560,16,0.1,-40,28.5,,Int16,
RBMS_ModTmp_37,73,576,16,0.1,-40,28.6,,Int16,
RBMS_ModTmp_38,75,592,16,0.1,-40,28.7,,Int16,
RBMS_ModTmp_39,77,608,16,0.1,-40,28.8,,Int16,
RBMS_ModTmp_40,79,624,16,0.1,-40,28.9,,Int16,
RBMS_ModTmp_41,81,640,16,0.1,-40,29,,Int16,
RBMS_ModTmp_42,83,656,16,0.1,-40,29.1,,Int16,
RBMS_ModTmp_43,85,672,16,0.1,-40,29.2,,Int16,
RBMS_ModTmp_44,87,688,16,0.1,-40,29.3,,Int16,
RBMS_ModTmp_45,89,704,16,0.1,-40,29.4,,Int16,
RBMS_ModTmp_46,91,720,16,0.1,-40,29.5,,Int16,
RBMS_ModTmp_47,93,736,16,0.1,-40,29.6,,Int16,
RBMS_ModTmp_48,95,752,16,0.1,-40,29.7,,Int16,
RBMS_ModTmp_49,97,768,16,0.1,-40,29.8,,Int16,
RBMS_ModTmp_50,99,784,16,0.1,-40,29.9,,Int16,
RBMS_ModTmp_51,101,800,16,0.1,-40,30,,Int16,
RBMS_ModTmp_52,103,816,16,0.1,-40,30.1,,Int16,
RBMS_ModTmp_53,105,832,16,0.1,-40,30.2,,Int16,
