id,point_id,can_id,param_name,data_type,coefficient,default_value,current_value,value_config,ui_type,description,sort_order,created_at,updated_at,param_ename
1,450,0x1836dd00,一级过频跳闸阈值,int16_t,100,61.2,61.2,"{""type"":""range"", ""min"":""GRID_RATED_FREQUENCY+1.0"", ""max"":""GRID_RATED_FREQUENCY+6.0"", ""step"":0.01, ""unit"":""Hz""}",input-number,,1,2026/5/21 10:21,2026/5/21 10:21,OF_LEVEL1_PROTECTION_VALUE
2,451,0x1836dd00,一级欠频跳闸阈值,int16_t,100,58.5,58.5,"{""type"":""range"", ""min"":""GRID_RATED_FREQUENCY-10.0"", ""max"":""GRID_RATED_FREQUENCY-1.0"", ""step"":0.01, ""unit"":""Hz""}",input-number,,2,2026/5/21 10:21,2026/5/21 10:21,UF_LEVEL1_PROTECTION_VALUE
3,452,0x1836dd00,一级过压跳闸阈值,int16_t,100,1.1,1.1,"{""type"":""range"", ""min"":1.1, ""max"":1.2, ""step"":0.01, ""unit"":""p.u.""}",input-number,,3,2026/5/21 10:21,2026/5/21 10:21,OV_LEVEL1_PROTECTION_VALUE
4,453,0x1836dd00,一级欠压跳闸阈值,int16_t,100,0.88,0.88,"{""type"":""range"", ""min"":0.0, ""max"":0.88, ""step"":0.01, ""unit"":""p.u.""}",input-number,,4,2026/5/21 10:21,2026/5/21 10:21,UV_LEVEL1_PROTECTION_VALUE
5,454,0x1837dd00,一级过频跳闸时间,int16_t,1,300,300,"{""type"":""range"", ""min"":180.0, ""max"":1000.0, ""step"":1, ""unit"":""Sec""}",input-number,,5,2026/5/21 10:21,2026/5/21 10:21,OF_LEVEL1_PROTECTION_TIME
6,455,0x1837dd00,一级欠频跳闸时间,int16_t,1,300,300,"{""type"":""range"", ""min"":180.0, ""max"":1000.0, ""step"":1, ""unit"":""Sec""}",input-number,,6,2026/5/21 10:21,2026/5/21 10:21,UF_LEVEL1_PROTECTION_TIME
7,456,0x1837dd00,一级过压跳闸时间,int16_t,1,13,13,"{""type"":""range"", ""min"":1.0, ""max"":13.0, ""step"":1, ""unit"":""Sec""}",input-number,,7,2026/5/21 10:21,2026/5/21 10:21,OV_LEVEL1_PROTECTION_TIME
8,457,0x1837dd00,一级欠压跳闸时间,int16_t,1,21,21,"{""type"":""range"", ""min"":2.0, ""max"":50.0, ""step"":1, ""unit"":""Sec""}",input-number,,8,2026/5/21 10:21,2026/5/21 10:21,UV_LEVEL1_PROTECTION_TIME
9,458,0x1838dd00,一级过频跳闸时间（毫秒）,int16_t,1,0,0,"{""type"":""range"", ""min"":0, ""max"":999, ""step"":1, ""unit"":""mSec""}",input-number,,9,2026/5/21 10:21,2026/5/21 10:21,OF_LEVEL1_PROTECTION_TIME (ms)
10,459,0x1838dd00,一级欠频跳闸时间（毫秒）,int16_t,1,0,0,"{""type"":""range"", ""min"":0, ""max"":999, ""step"":1, ""unit"":""mSec""}",input-number,,10,2026/5/21 10:21,2026/5/21 10:21,UF_LEVEL1_PROTECTION_TIME (ms)
