"param_ename","param_name"
"g_s16InternalDerateStart","内部降额起始温度"
"Rvdq","dq轴电压电阻参数"
"Cal.Rirvac","交流电压电流采样校准系数"
"FreqOffsetComp_temp","频率偏移补偿"
"vGridLLGaincomp","电网线电压增益补偿"
"FRE_WATT_ENABLE","频率-有功功能使能"
"VOLT_WATT_ENABLE","电压-有功功能使能"
"VOLT_VAR_VREF_AUTO_ADJ_ENABLE","电压-无功参考电压自动调整使能"
"VOLT_VAR_TRESP","电压-无功响应时间"
"FRE_WATT_TRESP","频率-有功响应时间"
"VOLT_WATT_TRESP","电压-有功响应时间"
"VOLT_VAR_VREF_AUTO_ADJ_TIME","电压-无功参考电压自动调整时间"
"VARREF_TRESP","无功参考值响应时间"
"PCC_REFERENCE_VOLTAGE","并网点参考电压"
"ES_DELAY","并网服务延时"
"ES_FREQUENCY_HIGH","并网服务过频阈值"
"ES_VOLTAGE_HIGH","并网服务过压阈值"
"GRID_RATED_FREQUENCY","电网额定频率"
"ES_RAMP_RATE","并网服务功率爬坡率"
"ES_FREQUENCY_LOW","并网服务欠频阈值"
"ES_VOLTAGE_LOW","并网服务欠压阈值"
"OF_LEVEL1_PROTECTION_VALUE","一级过频跳闸阈值"
"UF_LEVEL1_PROTECTION_VALUE","一级欠频跳闸阈值"
"OV_LEVEL1_PROTECTION_VALUE","一级过压跳闸阈值"
"UV_LEVEL1_PROTECTION_VALUE","一级欠压跳闸阈值"
"OF_LEVEL1_PROTECTION_TIME","一级过频跳闸时间"
"OF_LEVEL1_PROTECTION_TIME (ms)","一级过频跳闸时间（毫秒）"
"OV_LEVEL1_PROTECTION_TIME","一级过压跳闸时间"
"OV_LEVEL1_PROTECTION_TIME (ms)","一级过压跳闸时间（毫秒）"
"UF_LEVEL1_PROTECTION_TIME","一级欠频跳闸时间"
"UF_LEVEL1_PROTECTION_TIME (ms)","一级欠频跳闸时间（毫秒）"
"UV_LEVEL1_PROTECTION_TIME","一级欠压跳闸时间"
"UV_LEVEL1_PROTECTION_TIME (ms)","一级欠压跳闸时间（毫秒）"
"OF_LEVEL2_PROTECTION_VALUE","二级过频跳闸阈值"
"UF_LEVEL2_PROTECTION_VALUE","二级欠频跳闸阈值"
"OV_LEVEL2_PROTECTION_VALUE","二级过压跳闸阈值"
"UV_LEVEL2_PROTECTION_VALUE","二级欠压跳闸阈值"
"OF_LEVEL2_PROTECTION_TIME","二级过频跳闸时间"
"OF_LEVEL2_PROTECTION_TIME (ms)","二级过频跳闸时间（毫秒）"
"OV_LEVEL2_PROTECTION_TIME","二级过压跳闸时间"
"OV_LEVEL2_PROTECTION_TIME (ms)","二级过压跳闸时间（毫秒）"
"UF_LEVEL2_PROTECTION_TIME","二级欠频跳闸时间"
"UF_LEVEL2_PROTECTION_TIME (ms)","二级欠频跳闸时间（毫秒）"
"UV_LEVEL2_PROTECTION_TIME","二级欠压跳闸时间"
"UV_LEVEL2_PROTECTION_TIME (ms)","二级欠压跳闸时间（毫秒）"
"FRE_WATT_KUF","频率-有功欠频下垂系数"
"FRE_WATT_KOF","频率-有功过频下垂系数"
"FRE_WATT_DBOF","频率-有功过频死区"
"FRE_WATT_DBUF","频率-有功欠频死区"
"VOLT_WATT_V1","电压-有功控制V1点"
"VOLT_WATT_V2","电压-有功控制V2点"
"VOLT_WATT_P2","电压-有功控制P2点"
"LIMITED_POWER_PERCENTAGE","有功功率限制百分比"
"REACTIVE_POWER_REG_MODE","无功功率控制模式"
"CONST_POWER_FACTOR_EXCITATION","恒功率因数模式（超前/滞后）"
"CONST_POWER_FACTOR_SETTING","恒功率因数设定值"
"VOLT_VAR_VREF","电压-无功参考电压"
"VOLT_VAR_V1","电压-无功控制V1点"
"VOLT_VAR_V2","电压-无功控制V2点"
"VOLT_VAR_V3","电压-无功控制V3点"
"VOLT_VAR_V4","电压-无功控制V4点"
"VOLT_VAR_Q1","电压-无功控制Q1点"
"VOLT_VAR_Q2","电压-无功控制Q2点"
"VOLT_VAR_Q3","电压-无功控制Q3点"
"VOLT_VAR_Q4","电压-无功控制Q4点"
"WATT_VAR_P3P","功率-无功控制曲线P3p点"
"WATT_VAR_Q3P","功率-无功控制曲线Q3p点"
"WATT_VAR_P2P","功率-无功控制曲线P2p点"
"WATT_VAR_Q2P","功率-无功控制曲线Q2p点"
"WATT_VAR_P1P","功率-无功控制曲线P1p点"
"WATT_VAR_Q1P","功率-无功控制曲线Q1p点"
"WATT_VAR_P1","功率-无功控制曲线P1点"
"WATT_VAR_Q1","功率-无功控制曲线Q1点"
"WATT_VAR_P2","功率-无功控制曲线P2点"
"WATT_VAR_Q2","功率-无功控制曲线Q2点"
"WATT_VAR_P3","功率-无功控制曲线P3点"
"WATT_VAR_Q3","功率-无功控制曲线Q3点"
"BATTERY_VOLTAGE_UPPER_LIMIT","电池电压上限"
"BATTERY_VOLTAGE_LOWER_LIMIT","电池电压下限"
"ACTIVE_POWER_RISE_SPEED","有功功率上升速率"
"REACTIVE_POWER_RISE_SPEED","无功功率上升速率"
"ISLANDING_VOLTAGE_SLOPE","离网模式电压变化率"
"CHARGE_MODE","充电模式"
"g_sBodeCfg.f32Mag","Bode注入幅值"
"g_sBodeCfg.f32TAvg","Bode平均时间"
"g_sBodeCfg.u16PDec","Bode每十倍频点数"
"g_sBodeCfg.f32FMax","Bode最大频率"
"g_sBodeCfg.f32FMin","Bode最小频率"
"ANTI_ISLANDING_ENABLE","防孤岛使能"
"LIMIT_ACTIVE_POWER_ENABLE","有功功率限制使能"
"LIMIT_APPARENT_POWER_ENABLE","视在功率限制使能"
"APPARENT_POWER_PERCENTAGE","视在功率百分比"
